foil_1,foil_2
BURNER,ORNAMENT
POLO,GYMNASTICS
SULPHUR,INJURY
FEVER,VINEGAR
JURY,CARNATION
FAIRY,ICICLE
BERRY,HOSPITAL
MORNING,STRAWBERRY
WAFER,FACTORY
TWEEZER,UMBRELLA
SHEEPSKIN,MECHANIC
LIQUID,ABDOMEN
CURFEW,BEVERAGE
CHIPMUNK,AVENUE
VILLAGE,MERCURY
DIAL,GINGERBREAD
PICTURE,MESSENGER
TRAITOR,GOVERNMENT
SINGER,ADMIRAL
PODIUM,POTATO
HURDLE,CIGARETTE
DOORWAY,ATHLETICS
GIRDLE,MOSQUITO
STOCKING,CINNAMON
OFFICE,CITIZEN
HAMSTER,HANDKERCHIEF
LEADER,ALCOHOL
BEETLE,COMMITTEE
CAPTAIN,PHOTOGRAPH
DECOY,DESTROYER
KERNEL,MICROSCOPE
SHOULDER,POLIO
CRYSTAL,CLARINET
CIGAR,ALPHABET
FATHER,FIREWOOD
VESSEL,GRASSHOPPER
MOONLIGHT,INTERVIEW
PRINCESS,POLICEMAN
NECKLACE,PROFESSOR
DANCER,HEADQUARTERS
LIGHTNING,AMMONIA
MEDICINE,PROJECTOR
SADDLE,CORRIDOR
WINDOW,PROPELLER
BUTTER,ACROBAT
FERTILE,INSTRUCTOR
DUEL,MONUMENT
NOVEL,PHYSICIAN
UNCLE,CONVENTION
CABIN,LECTURER
SCOOTER,TEMPERATURE
MISTRESS,TANGERINE
RABBI,ANTIQUE
HAMMER,OXYGEN
CANTEEN,REFEREE
WIRE,CABINET
WALRUS,AMBULANCE
VALLEY,MOLECULE
HARBOUR,MINISTER
CEREAL,ASBESTOS
MUSCLE,DISSECTION
SOFA,MINERAL
NEIGHBOUR,SETTLEMENT
INCOME,CAMERA
MEASLES,ATTENDANT
ACRE,INDUSTRY
RUSTY,ENVELOPE
ANCHOR,FAMILY
PATIENT,INSTRUMENT
KENNEL,FISHERMAN
PERSON,RETAILER
EVENING,ENAMEL
TORTURE,CATHEDRAL
LOBSTER,JANITOR
SEGMENT,CANDLELIGHT
NAPKIN,NEWSPAPER
STATION,HONEYMOON
WRITING,GALLERY
DWELLER,MEDICINE
PIPING,SAXOPHONE
TUMBLE,BUTTERFLY
MURAL,NEIGHBOURHOOD
MURDER,HURRICANE
OLIVE,INFECTION
BISHOP,DIAMOND
TEMPLE,LEMONADE
NATIVE,GORILLA
SODA,FURNITURE
EARTHWORM,CROCODILE
KETTLE,APPLIANCE
PIANO,CAPITAL
INVOICE,EMULSION
NURSERY,CHOCOLATE
DIVING,SPECIALIST
FOREARM,OPENING
VAPOUR,INSTITUTE
GRADUATE,HEROIN
